///////////////////////////////////////////////
//主要城市
///////////////////////////////////////////////
33
116.17 39.76 0.0313	北京
117.04 39.05 0.0025	天津
121.48 31.40 0.3560	上海
106.28 29.35 0.2591	重庆
126.46 45.45 0.1423	哈尔滨
125.13 43.54 0.2368	长春
123.27 41.44 0.0447	沈阳
111.41 40.49 1.0630	呼和浩特
087.37 43.47 0.9179	乌鲁木齐
101.45 36.43 2.2952	西宁
103.53 36.03 1.5172	兰州
106.13 38.29 1.1114	银川
114.25 38.02 0.0810	石家庄
112.33 37.47 0.7783	太原
113.39 34.43 0.1104	郑州
116.59 36.41 0.0516	济南
091.08 29.40 3.6487	拉萨
104.01 30.40 0.5061	成都
108.56 34.18 0.3975	西安
114.08 30.37 0.0231	武汉
102.41 25.01 1.8924	昆明
112.55 28.13 0.0680	长沙
106.43 26.35 1.0743	贵阳
118.48 32.00 0.0089	南京
117.14 31.52 0.0279	合肥
120.10 30.14 0.0417	杭州
115.55 28.36 0.0467	南昌
119.17 26.05 0.0840	福州
113.20 23.10 0.0417	广州
108.21 22.49 0.0731	南宁
110.21 20.02 0.0139	海口
114.02 22.20 0.0790	香港
121.31 25.02 0.2000	台北
